
	Python anaconda is now loaded in your environment.

Preparing directory /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/PreResNet110/SWA/lr=0.05_wd=8e-06_swastart=176.0_swalr=0.005/
Using model PreResNet110
Loading ImageNet32 from /jmain01/home/JAD017/sjr02/dxg49-sjr02/curvature/data/
You are going to run models on the test set. Are you sure?
Using train (1281167) + test (50000)
Preparing model
{'depth': 110}
SWAG training
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
   1    0.0500     5.3010    7.6677     4.7187   12.4920      1079.1576        0.0109
   2    0.0500     4.0488   19.9026     3.9760   21.9240      1077.6391        0.0214
   3    0.0500     3.5472   27.0296     3.5947   26.7680      1077.0606        0.0214
   4    0.0500     3.2638   31.4306     3.3944   29.9980      1079.7981        0.0214
   5    0.0500     3.0764   34.4577     3.2436   32.7920      1082.6529        0.0214
   6    0.0500     2.9430   36.6544     3.2021   33.5840      1076.4276        0.0214
   7    0.0500     2.8412   38.3884     3.1468   34.0700      1078.0598        0.0214
   8    0.0500     2.7597   39.7924     3.0492   35.3020      1077.4534        0.0214
   9    0.0500     2.6945   40.9082     2.9510   37.2980      1084.8394        0.0214
  10    0.0500     2.6394   41.9244     2.9067   37.7760      1077.0869        0.0214
  11    0.0500     2.5931   42.6862     2.8988   38.2840      1079.1552        0.0214
  12    0.0500     2.5529   43.4182     2.8313   39.3080      1078.7271        0.0214
  13    0.0500     2.5171   44.0541     2.8568   39.1980      1081.7158        0.0214
  14    0.0500     2.4868   44.5254     2.9149   38.6980      1079.6456        0.0214
  15    0.0500     2.4608   45.0263     2.7960   40.3960      1078.1656        0.0214
  16    0.0500     2.4351   45.5189     2.7710   40.4420      1079.7578        0.0214
  17    0.0500     2.4127   45.9170     2.7199   41.4300      1081.0179        0.0214
  18    0.0500     2.3925   46.2063     2.7043   41.4980      1079.1203        0.0214
  19    0.0500     2.3739   46.5729     2.6819   42.0840      1076.7891        0.0214
  20    0.0500     2.3574   46.8795     2.6880   42.3060      1078.9350        0.0214
  21    0.0500     2.3408   47.1083     2.7251   41.2520      1077.1383        0.0214
  22    0.0500     2.3272   47.3770     2.6676   42.3020      1077.8800        0.0214
  23    0.0500     2.3145   47.6331     2.6925   41.8860      1078.2674        0.0214
  24    0.0500     2.3020   47.8433     2.6569   42.1380      1078.7195        0.0214
