
	Python anaconda is now loaded in your environment.

Preparing directory /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/WideResNet28x10/SWA/lr=0.05_wd=8e-06_swastart=176.0_swalr=0.005/
Using model WideResNet28x10
Loading ImageNet32 from /jmain01/home/JAD017/sjr02/dxg49-sjr02/curvature/data/
You are going to run models on the test set. Are you sure?
Using train (1281167) + test (50000)
Preparing model
{'depth': 28, 'widen_factor': 10}
SWAG training
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
   1    0.0500     4.6179   14.0311     3.8604   22.6800      2206.1760        0.2776
   2    0.0500     3.1479   32.6032     3.1573   32.8040      2202.9512        0.5556
   3    0.0500     2.6355   41.3329     2.7585   40.0940      2202.1506        0.5556
   4    0.0500     2.3459   46.5224     2.5658   43.7300      2200.7268        0.5556
   5    0.0500     2.1515   50.2188     2.4285   46.0140      2200.7001        0.5556
   6    0.0500     2.0054   52.9298     2.3529   47.9020      2199.3558        0.5556
   7    0.0500     1.8911   55.1620     2.2858   48.9980      2200.3549        0.5556
   8    0.0500     1.7952   56.9988     2.2278   50.3400      2199.7696        0.5556
   9    0.0500     1.7133   58.5993     2.1990   51.1200      2199.4407        0.5556
  10    0.0500     1.6429   59.9544     2.1977   51.2860      2199.7627        0.5556
  11    0.0500     1.5798   61.2905     2.2292   50.9380      2199.8427        0.5556
  12    0.0500     1.5239   62.3385     2.2183   51.6380      2199.7624        0.5556
  13    0.0500     1.4719   63.3579     2.1611   52.5240      2199.3631        0.5556
  14    0.0500     1.4252   64.2797     2.1633   52.3000      2199.3652        0.5556
  15    0.0500     1.3813   65.0921     2.1317   53.4400      2199.2881        0.5556
  16    0.0500     1.3410   65.9866     2.1890   52.9000      2199.1494        0.5556
  17    0.0500     1.3043   66.6673     2.1555   53.4120      2199.1188        0.5556
  18    0.0500     1.2702   67.3871     2.2385   52.2320      2198.9950        0.5556
  19    0.0500     1.2361   68.0960     2.1519   53.5360      2199.1745        0.5556
  20    0.0500     1.2069   68.6676     2.2192   52.8340      2199.1387        0.5556
  21    0.0500     1.1773   69.2457     2.2018   53.0900      2199.2838        0.5556
  22    0.0500     1.1490   69.8629     2.2540   53.3300      2199.2577        0.5556
  23    0.0500     1.1230   70.4043     2.2339   53.8100      2200.6759        0.5556
  24    0.0500     1.0986   70.8769     2.2947   53.0420      2198.4488        0.5556
