
	Python anaconda is now loaded in your environment.

Preparing directory /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/VGG16BN/SWA/lr=0.05_wd=8e-06_swastart=176.0_swalr=0.005/
Using model VGG16BN
Loading ImageNet32 from /jmain01/home/JAD017/sjr02/dxg49-sjr02/curvature/data/
You are going to run models on the test set. Are you sure?
Using train (1281167) + test (50000)
Preparing model
{'batch_norm': True}
SWAG training
----  --------  ---------  --------  ---------  --------  -------------  ------------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    swa_te_loss    swa_tr_acc
----  --------  ---------  --------  ---------  --------  -------------  ------------
   1    0.0500     5.9644    2.2138     5.3578    4.9580       637.7974        0.1193
   2    0.0500     4.9263    7.6010     4.5703   11.1880       667.9596        0.2397
   3    0.0500     4.5188   11.7918     4.2806   14.8840       678.7872        0.2397
   4    0.0500     4.2662   14.9227     4.0582   17.8760       685.2495        0.2397
   5    0.0500     4.0847   17.4405     3.9183   19.9160       619.4471        0.2397
   6    0.0500     3.9474   19.4823     3.7836   21.8200       687.4935        0.2397
   7    0.0500     3.8354   21.2658     3.6751   23.5800       666.6562        0.2397
   8    0.0500     3.7438   22.7503     3.6399   24.4500       616.5154        0.2397
   9    0.0500     3.6628   24.0945     3.5368   25.8360       686.1348        0.2397
  10    0.0500     3.5954   25.2880     3.4967   26.7500       641.2846        0.2397
  11    0.0500     3.5301   26.4417     3.5239   27.2660       642.5458        0.2397
  12    0.0500     3.4988   27.0442     3.3801   29.0000       617.9676        0.2397
  13    0.0500     3.4364   28.1173     3.3911   29.1360       680.1038        0.2397
  14    0.0500     3.3993   28.8520     3.3180   30.3220       683.9147        0.2397
  15    0.0500     3.3748   29.3438     3.3096   30.5680       664.1684        0.2397
  16    0.0500     3.3168   30.3293     3.2968   31.1500       661.4181        0.2397
  17    0.0500     3.3570   29.8938     3.3135   31.0040       685.4301        0.2397
  18    0.0500     3.2739   31.1984     5.4238   14.8980       644.5755        0.2397
  19    0.0500     3.3058   30.7654     3.2072   32.4880       672.4277        0.2397
  20    0.0500     3.2047   32.3669     3.2004   32.4520       664.4785        0.2397
  21    0.0500     3.1824   32.8668     3.1844   33.2700       670.8923        0.2397
  22    0.0500     3.1500   33.4486     3.2378   32.7300       667.0990        0.2397
  23    0.0500     3.1412   33.6680     3.1486   33.9160       639.3190        0.2397
  24    0.0500     3.1186   34.0912     3.1834   33.4600       676.6204        0.2397
  25    0.0500     3.1701   33.4984     3.2109   33.2540       685.6352        0.2397
