
	Python anaconda is now loaded in your environment.

directory is /jmain01/home/JAD017/sjr02/dxg49-sjr02/curvature/ckpts/c10/VGG16/SGDOPT/
Using model VGG16
Loading CIFAR10 from /jmain01/home/JAD017/sjr02/dxg49-sjr02/curvature/data/
Files already downloaded and verified
You are going to run models on the test set. Are you sure?
Files already downloaded and verified
Using train (50000) + test (10000)
Preparing model
{}
SWA training
Loading /jmain01/home/JAD017/sjr02/dxg49-sjr02/curvature/ckpts/c10/VGG16/SGDOPT/checkpoint-00161.pt
----  --------  ---------  --------  ---------  --------  -------------  -------------  ------------  -------------  ------------  -----------------  --------  -----------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    te_top5_acc    swa_tr_loss    swa_tr_acc    swa_te_loss    swa_te_acc    swa_te_top5_acc      time    mem_usage
----  --------  ---------  --------  ---------  --------  -------------  -------------  ------------  -------------  ------------  -----------------  --------  -----------
   1    0.0300     0.1718   94.6320     0.3225   90.2600        99.4900         0.0878       97.2380         0.2593       92.2200            99.6000   68.8325       0.3468
   2    0.0300     0.1521   95.0640     0.3448   90.1600        99.3099         0.0648       98.0060         0.2487       92.6000            99.6000   64.9353       0.3468
   3    0.0300     0.1351   95.7180     0.3404   90.2800        99.3499         0.0532       98.4119         0.2441       92.9500            99.5699   64.8189       0.3468
   4    0.0300     0.1157   96.3120     0.3272   90.4800        99.3999         0.0464       98.5759         0.2455       92.8600            99.5700   64.2632       0.3468
   5    0.0300     0.1128   96.4760     0.3759   89.7300        99.2200         0.0418       98.7679         0.2472       92.9800            99.5800   64.3019       0.3468
   6    0.0300     0.1032   96.6860     0.3866   90.5600        99.1500         0.0352       99.0018         0.2481       93.0200            99.5800   64.8522       0.3468
   7    0.0300     0.1091   96.5980     0.3950   89.6900        99.3899         0.0329       99.0518         0.2490       93.0600            99.5700   64.5243       0.3468
   8    0.0300     0.0986   96.9580     0.3414   90.5300        99.3499         0.0290       99.2138         0.2488       93.1400            99.5900   64.3022       0.3468
   9    0.0300     0.0982   96.8840     0.3908   90.0200        99.2500         0.0264       99.2598         0.2498       93.2100            99.6099   64.5090       0.3468
  10    0.0300     0.0896   97.1180     0.3571   90.1000        99.3700         0.0245       99.3298         0.2502       93.1400            99.6200   64.6780       0.3468
  11    0.0300     0.0877   97.2440     0.3772   90.9900        99.2900         0.0221       99.3918         0.2501       93.1700            99.6300   65.2599       0.3468
  12    0.0300     0.0811   97.4040     0.4107   90.1100        99.2499         0.0200       99.4397         0.2507       93.2200            99.6200   64.4790       0.3468
  13    0.0300     0.0783   97.5760     0.4073   90.8200        99.1800         0.0193       99.5197         0.2514       93.1500            99.6200   64.4283       0.3468
  14    0.0300     0.0768   97.5720     0.3865   90.8700        99.4100         0.0173       99.5737         0.2515       93.1800            99.6300   64.6227       0.3468
  15    0.0300     0.0715   97.7620     0.3695   89.6700        99.0500         0.0163       99.5957         0.2519       93.1900            99.6400   65.2040       0.3468
  16    0.0300     0.0693   97.8380     0.3794   90.9400        99.4800         0.0157       99.6137         0.2518       93.2200            99.6400   65.0805       0.3468
  17    0.0300     0.0698   97.7940     0.3791   90.4900        99.3000         0.0147       99.6257         0.2518       93.2800            99.6500   64.5372       0.3468
  18    0.0300     0.0708   97.7320     0.3909   90.5500        99.2299         0.0132       99.6757         0.2526       93.2400            99.6500   62.7781       0.3468
  19    0.0300     0.0724   97.6800     0.3802   90.6900        99.1300         0.0128       99.6957         0.2531       93.3200            99.6400   62.2699       0.3468
  20    0.0300     0.0709   97.7740     0.3700   90.5000        99.3200         0.0112       99.7497         0.2535       93.3800            99.6800   62.7530       0.3468
  21    0.0300     0.0708   97.7720     0.3882   91.1100        99.2700         0.0118       99.7017         0.2538       93.4100            99.6600   62.9951       0.3468
  22    0.0300     0.0598   98.0900     0.4254   90.3300        99.3999         0.0108       99.7377         0.2539       93.4500            99.6800   65.1038       0.3468
