
	Python anaconda is now loaded in your environment.

directory is /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/WideResNet28x10/PadamX/seed=1_lr=0.03_wd=0.0003_swa_start=31.0_swa_lr=0.015/
Using model WideResNet28x10
Loading ImageNet32 from ../../curvature/data/
You are going to run models on the test set. Are you sure?
Using train (1281167) + test (50000)
Preparing model
{'depth': 28, 'widen_factor': 10}
SWA training
Loading /jmain01/home/JAD017/sjr02/dxg49-sjr02/kfac-curvature/out/ImageNet32/WideResNet28x10/PadamX/seed=1_lr=0.03_wd=0.0003_swa_start=31.0_swa_lr=0.015/checkpoint-00030.pt
----  --------  ---------  --------  ---------  --------  -------------  -------------  ------------  -------------  ------------  -----------------  ---------  -----------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    te_top5_acc    swa_tr_loss    swa_tr_acc    swa_te_loss    swa_te_acc    swa_te_top5_acc       time    mem_usage
----  --------  ---------  --------  ---------  --------  -------------  -------------  ------------  -------------  ------------  -----------------  ---------  -----------
   1    0.0015     0.5305   86.3165     1.9470   58.6460        81.4940         0.4763       87.6517         1.8634       59.5620            82.2160  5959.2189       0.9719
   2    0.0015     0.4986   87.5967     1.9421   58.5240        81.2721         0.4245       89.3648         1.8402       59.7880            82.3881  5988.8200       0.9719
   3    0.0015     0.4875   88.1047     1.9211   58.1500        81.2880         0.3980       90.2760         1.8291       59.7880            82.4240  5985.5135       0.9719
   4    0.0015     0.4846   88.2526     1.9477   58.0540        80.9320         0.3787       90.9707         1.8233       59.8340            82.5100  5956.6708       0.9719
   5    0.0015     0.4887   88.0866     1.9812   57.6820        80.4760         0.3636       91.5111         1.8199       59.8440            82.5040  5941.3525       0.9719
   6    0.0015     0.5046   87.5648     2.0094   57.1440        80.2620         0.3503       91.9466         1.8178       59.8240            82.4740  5949.7888       0.9719
   7    0.0015     0.5306   86.6804     2.0216   57.1580        80.1381         0.3396       92.2925         1.8158       59.8260            82.5180  5954.9919       0.9719
   8    0.0015     0.5660   85.5610     2.0439   56.7580        79.8840         0.3305       92.5910         1.8141       59.9180            82.5021  5956.2455       0.9719
   9    0.0015     0.6044   84.3143     2.0573   56.2920        79.4840         0.3231       92.8356         1.8116       59.9300            82.5301  5950.1091       0.9719
  10    0.0015     0.6444   83.1662     2.0602   55.9020        79.2181         0.3175       92.9685         1.8087       59.9300            82.6100  5936.9601       0.9719
  11    0.0015     0.6828   82.0302     2.0863   55.4820        79.0461         0.3126       93.1120         1.8057       59.9640            82.6381  5940.2930       0.9719
  12    0.0015     0.7108   81.1977     2.0644   56.0880        79.0600         0.3092       93.2225         1.8022       60.0200            82.6461  5943.7214       0.9719
  13    0.0015     0.7356   80.5286     2.0954   55.5200        78.8840         0.3067       93.2979         1.7987       60.1639            82.6740  5948.4651       0.9719
  14    0.0015     0.7553   79.9877     2.0850   55.2840        78.9160         0.3054       93.3036         1.7951       60.2600            82.7320  5946.9616       0.9719
  15    0.0015     0.7667   79.6911     2.1355   55.0940        78.3160         0.3044       93.3220         1.7921       60.2779            82.7520  5953.8195       0.9719
  16    0.0015     0.7763   79.4009     2.1014   54.9400        78.6941         0.3037       93.3189         1.7892       60.3139            82.7720  5954.2352       0.9719
  17    0.0015     0.7827   79.2182     2.0902   55.6420        78.8701         0.3040       93.3021         1.7867       60.3780            82.8221  5950.3717       0.9719
  18    0.0015     0.7867   79.1096     2.1164   54.7700        78.4260         0.3040       93.2619         1.7843       60.4420            82.8541  5950.2632       0.9719
  19    0.0015     0.7914   78.9884     2.1063   55.2940        78.5560         0.3043       93.2286         1.7823       60.5040            82.8760  5949.5192       0.9719
  20    0.0015     0.7901   79.0664     2.1246   54.7980        78.5400         0.3049       93.1786         1.7805       60.5460            82.9280  5916.3962       0.9719
